Expedition,Site,Hole,Program,Longitude,Latitude,Water Depth (m),Core Recovered (m)
24,235,,DSDP,52.694,3.2343,5130,98.1
24,236,,DSDP,57.6475,-1.677,4487,218.5
24,237,,DSDP,58.1247,-7.0832,1623,312.1
24,238,,DSDP,70.526,-11.1535,2832,424.5
25,239,,DSDP,51.6788,-21.2945,4971,106.1
25,240,,DSDP,50.0537,-3.4873,5082,25.1
25,240,A,DSDP,50.0537,-3.4873,5082,3.2
25,241,,DSDP,44.6795,-2.3707,4054,136.7
25,242,,DSDP,41.8205,-15.8442,2275,103.1
25,243,,DSDP,41.3998,-22.9082,3879,0.3
25,244,,DSDP,41.433,-22.9312,3768,0.1
25,245,,DSDP,52.3018,-31.5337,4857,82.1
25,245,A,DSDP,52.3018,-31.5337,4857,47.4
25,246,,DSDP,45.1595,-33.6202,1030,23.8
25,247,,DSDP,45.0113,-33.6255,944,0.1
25,248,,DSDP,37.4747,-29.5297,4994,40.8
25,249,,DSDP,36.077,-29.9498,2098,221.4
26,250,,DSDP,39.3692,-33.4623,5119,21.4
26,250,A,DSDP,39.3692,-33.4623,5119,124.4
26,251,,DSDP,49.4858,-36.5042,3499,67.2
26,251,A,DSDP,49.4858,-36.5042,3499,158.4
26,252,,DSDP,59.2388,-37.0407,5032,41.5
26,253,,DSDP,87.3662,-24.8775,1962,270.1
26,254,,DSDP,87.8953,-30.9692,1253,150.5
26,255,,DSDP,93.7287,-31.1312,1144,7.9
26,256,,DSDP,100.774,-23.4558,5361,78.4
26,257,,DSDP,108.35,-30.986,5278,76.7
26,258,,DSDP,112.474,-33.7948,2793,115.6
26,258,A,DSDP,112.474,-33.7948,2793,65.5
26,258,B,DSDP,112.474,-33.7948,2793,1.5
27,259,,DSDP,112.696,-29.6175,4696,248.8
27,260,,DSDP,110.299,-16.1445,5702,56.7
27,261,,DSDP,117.893,-12.9472,5667,125.8
27,262,,DSDP,123.846,-10.8698,2298,365.5
27,263,,DSDP,110.964,-23.3238,5048,163.5
28,264,,DSDP,112.045,-34.9688,2876,65.6
28,264,A,DSDP,112.045,-34.9688,2876,33.2
28,265,,DSDP,109.946,-53.5408,3581,108
28,266,,DSDP,110.112,-56.4022,4167,145.2
28,267,,DSDP,104.488,-59.2623,4522,25.9
28,267,A,DSDP,104.488,-59.2623,4522,11.6
28,267,B,DSDP,104.488,-59.2623,4522,53.5
28,268,,DSDP,105.156,-63.9498,3529,65.6
28,269,,DSDP,140.07,-61.6762,4282,38.8
28,269,A,DSDP,140.07,-61.6762,4282,55.4
28,270,,DSDP,-178.503,-77.4413,633,263.7
28,271,,DSDP,-175.048,-76.7212,562,15.3
28,272,,DSDP,-176.76,-77.127,619,162
28,273,,DSDP,174.626,-74.5382,491,27.9
28,273,A,DSDP,174.626,-74.5382,491,55.5
28,274,,DSDP,173.427,-68.9968,3305,279.1
29,275,,DSDP,176.316,-50.439,2800,17.5
29,276,,DSDP,176.807,-50.8018,4671
29,277,,DSDP,166.191,-52.2238,1214,258.9
29,278,,DSDP,160.072,-56.557,3675,277.7
29,278,A,DSDP,160.072,-56.557,3675,7.5
29,279,,DSDP,162.635,-51.3357,3341,0.6
29,279,A,DSDP,162.635,-51.3357,3341,79.8
29,280,,DSDP,147.235,-48.9573,4176,5.5
29,280,A,DSDP,147.235,-48.9573,4176,97.2
29,281,,DSDP,147.764,-47.9973,1591,105.6
29,281,A,DSDP,147.764,-47.9973,1591,7.1
29,282,,DSDP,143.486,-42.246,4202,63.7
29,283,,DSDP,154.283,-43.91,4729,61.1
29,283,A,DSDP,154.283,-43.91,4729,10.5
29,284,,DSDP,167.68,-40.508,1066,166.8
29,284,A,DSDP,167.68,-40.508,1066,22.4
30,285,,DSDP,175.804,-26.8193,4658,42
30,285,A,DSDP,175.804,-26.8193,4658,47
30,286,,DSDP,166.37,-16.532,4465,170
30,287,,DSDP,153.266,-13.9112,4632,72
30,288,,DSDP,161.826,-5.9725,3000,50
30,288,A,DSDP,161.826,-5.9725,3000,61
30,288,B,DSDP,161.826,-5.9725,3000,3
30,288,C,DSDP,161.826,-5.9725,3000,4
30,289,,DSDP,158.512,-0.4987,2206,713
31,290,,DSDP,133.468,17.7475,6062,39
31,290,A,DSDP,133.468,17.7475,6062,2
31,291,,DSDP,127.831,12.8072,5217,10
31,291,A,DSDP,127.831,12.8072,5217,1
31,292,,DSDP,124.651,15.8185,2943,243
31,293,,DSDP,124.094,20.3542,5599,79
31,294,,DSDP,131.536,22.579,5784,23
31,295,,DSDP,131.367,22.5627,5808,20
31,296,,DSDP,133.525,29.3402,2920,312
31,297,,DSDP,134.165,30.8727,4458,124
31,297,A,DSDP,134.165,30.8727,4458
31,298,,DSDP,133.604,31.7155,4628,67
31,298,A,DSDP,133.604,31.7155,4628,0.4
31,299,,DSDP,137.662,39.4947,2599,172
31,300,,DSDP,136.105,41.0493,3427,0.4
31,301,,DSDP,134.048,41.0625,3520,50
31,302,,DSDP,136.9,40.3355,2399,91
32,303,,DSDP,154.451,40.8083,5609,26
32,303,A,DSDP,154.451,40.8083,5609,6
32,304,,DSDP,155.07,39.3378,5630,30
32,305,,DSDP,157.85,32.0022,2903,211
32,306,,DSDP,157.479,31.867,3399,27
32,307,,DSDP,161.005,28.5877,5696,19
32,308,,DSDP,172.15,34.9823,1331,7
32,309,,DSDP,171.561,34.9053,1454,0.2
32,310,,DSDP,176.902,36.8685,3516,145
32,310,A,DSDP,176.902,36.8685,3516,27
32,311,,DSDP,179.738,28.1243,5775,19
32,312,,DSDP,-178.133,25.5783,5345
32,313,,DSDP,-170.952,20.1753,3484,220
33,314,,DSDP,-168.468,15.9127,5214,0.1
33,315,,DSDP,-158.526,4.171,4152,17
33,315,A,DSDP,-158.526,4.171,4152,130
33,316,,DSDP,-157.128,0.0907,4451,103
33,317,,DSDP,-162.263,-11.0015,2598,19
33,317,A,DSDP,-162.263,-11.0015,2598,163
33,317,B,DSDP,-162.263,-11.0015,2598,308
33,318,,DSDP,-146.859,-14.8272,2641,147
34,319,,DSDP,-101.524,-13.0173,4290,85
34,319,A,DSDP,-101.524,-13.0173,4290,14
34,320,,DSDP,-83.53,-9.0067,4483,19
34,320,A,DSDP,-83.53,-9.0067,4483,9
34,320,B,DSDP,-83.53,-9.0067,4483,18
34,321,,DSDP,-81.904,-12.0215,4817,86
35,322,,DSDP,-79.4248,-60.0242,5026,34
35,323,,DSDP,-97.9948,-63.6807,5004,76
35,324,,DSDP,-98.7867,-69.0535,4433,48
35,325,,DSDP,-73.6733,-65.0465,3748,34
36,326,,DSDP,-65.3033,-56.5833,3812,0.5
36,327,,DSDP,-46.7837,-50.8713,2400,5
36,327,A,DSDP,-46.7837,-50.8713,2400,128
36,328,,DSDP,-36.6588,-49.8112,5095,62
36,328,A,DSDP,-36.6588,-49.8112,5095,7.4
36,328,B,DSDP,-36.6588,-49.8112,5095,62
36,329,,DSDP,-46.0955,-50.6552,1519,215
36,330,,DSDP,-46.8833,-50.9198,2626,85
36,330,A,DSDP,-46.8833,-50.9198,2626,4
36,331,,DSDP,-38.1153,-37.8833,5077,8
37,332,,DSDP,-33.641,36.8787,1818,4
37,332,A,DSDP,-33.641,36.8787,1818,67
37,332,B,DSDP,-33.641,36.8787,1806,122
37,332,C,DSDP,-33.641,36.8787,1806,1
37,332,D,DSDP,-33.641,36.8787,1806,0.3
37,333,,DSDP,-33.6675,36.8408,1666,38
37,333,A,DSDP,-33.6675,36.8408,1666,25
37,334,,DSDP,-34.4145,37.0355,2619,99
37,335,,DSDP,-35.1987,37.2957,3188,59
38,336,,DSDP,-7.7878,63.351,811,221
38,337,,DSDP,-5.3418,64.8717,2631,98
38,338,,DSDP,5.3877,67.7852,1297,209
